0044999600張り切る はりきる 拉紧，绷紧；干劲十足；紧张    0451666 自動1 ③
0045645900はるか はるか 距离、时间相隔远，遥远；远比…，程度相差很多    0457694 副ナ形 ①
0046550600バレエ ballet 芭蕾舞    0466446 名 ①
0046784500反～ はん～ 反对…,逆…    0468905 接頭
0047122000番 ばん 交替，轮流；看守，值班    0472030 名 ①
0047655400反映 はんえい 反映    0477607 名自他動3 ⓪
0047919800繁栄 はんえい 繁荣，昌盛，形势好    0480413 名自他動3 ⓪
2048418900半径 はんけい 半径，在圆或球中，连接其圆心与圆周上一点的线段    0485959 名 ①
0049309700判決 はんけつ 判决    0494375 名他動3 ⓪
0049571000犯行 はんこう 罪行，犯罪行为    0497275 名 ⓪
0050028500判事 はんじ 判事，日本法官的官名之一    0501901 名 ①
0050597800繁盛 はんじょう 繁荣，昌盛    0507258 名自動3 ①
0050974100繁殖 はんしょく 繁殖，生殖繁衍    0511110 名自動3 ⓪
0051449200反する はんする 与…相反；违反；背叛    0515821 名自動3 ③
0051964800反省 はんせい 反省，自我审视    0520863 名他動3 ⓪
0052391600反対語 はんたいご 反义词    0525405 名 ⓪
0052717300判定 はんてい 判断，判决，做出评判    0528192 名他動3 ⓪
0053249500半島 はんとう 半岛    0533831 名 ⓪
2053521200ハンドブック handbook 小型书，手册，指南，入门读物    0536573 名 ④
0054208700ハンドル handle 把手；驾驶盘，方向盘    0543212 名 ⓪
0054741000反応 はんのう 反应，反响；(生物体)应激反应；物质与其他物质发生相互作用    0548729 名自動3 ⓪
2055644500万能 ばんのう 万能，全能    0557377 名ナ形 ⓪
0055987300灯 ひ 灯光，灯火    0560993 名 ①
0056364500非～ ひ～ 错误，不对，不…    0564223 接頭
0056752600被～ ひ～ 被…,遭遇，遭受    0568098 接頭
0057186400~費 ～ひ …开销，费用    0572652 接尾
0057543900美 び 美丽，漂亮；出色，值得称赞；美味    0576074 名 ①
0058197600ヒアリング hearing 听力，听写    0583358 名 ⓪①
0058627100ビーカー beaker 烧杯，化学实验中用于配置溶液或加热液体的容器    0587151 名 ①
0059424000ヒーター heater 电热器，采暖设备的总称    0595631 名 ①
0059963200ピーティーエー PTA 家长教师联合会，家长会    0601303 名 ⑤
0060530200日帰り ひがえり 当天往返    0606856 名自動3 ⓪
0060883000引き上げる ひきあげる 提升，使…提高；抬高，涨价；收回，取回    0610528 自他動2 ④
0061786600引き下げる ひきさげる 降价，降低，使…下降；使…后退；撤回    0619143 他動2 ④
0062680100引き出す ひきだす 拉出，抽出；提取；调动，发挥    0628479 他動1 ③
0063420300引き続き ひきつづき 紧接着，连续    0635679 副 ⓪
0063826700引き止める ひきとめる 拉住，阻止，劝阻，挽留    0639853 他動2 ④
0064434400卑怯 ひきょう 懦弱，胆小；卑鄙    0645604 名ナ形 ②①
0064925200ピクニック picnic 郊游，野炊    0650653 名 ②
0065370500びくびく びくびく 畏缩，战战兢兢；颤动，跳动    0654947 副自動3 ①
0066053600悲劇 ひげき 悲剧，不幸的遭遇    0661730 名 ①
0066530100飛行 ひこう 飞行，在空中航行    0666507 名自動3 ⓪
0067070300非行 ひこう 不良行为，越出社会规范的行为；触犯少年法的行为    0672447 名 ⓪
0067945000日頃 ひごろ 平常，平素    0680359 名副 ⓪
0068286400被災 ひさい 受灾，罹难    0683808 名自動3 ⓪
0068663800被災地 ひさいち 受灾地    0687972 名 ②
0068980300悲惨 ひさん 悲惨，耳闻目睹后让你觉得心酸难过    0691203 名ナ形 ⓪
0069693300ビジネス business 工作，商务，生意，买卖    0698034 名 ①
0070255700微笑 びしょう 微笑    0703684 名自動3 ⓪
0070573200非常勤 ひじょうきん 不定期出勤，非正常上班，不按常规上班    0707150 名 ②
0071296000非常識 ひじょうしき 不合常理，脱离常识    0714207 名ナ形 ②
1071771200びしょびしょ びしょびしょ 湿透，湿漉漉    0719403 ナ形 ①
1072246100ピストル pistol 手枪，短枪    0723969 名 ⓪
1072647600ひそか ひそか 秘密，悄悄，暗中，私下，不为人知的    0727673 ナ形 ②①
1073354900ひそやか ひそやか 寂静；偷偷，秘密    0735067 ナ形 ②
2073883100ビタミン vitamin 维持生命所必需的营养素，维生素    0740072 名 ②
1074452400ぴたりと ぴたりと 紧紧地，紧贴着；正合适，合身    0745986 副 ②③
0075093600引っ掛かる ひっかかる 勾上，卡主；受骗，受牵连；担心，挂念    0752432 自動1 ④
0075908000引っ掛ける ひっかける 挂；蹭到，剐到；欺骗，勾引；找借口，谎称    0760477 他動2 ④
0076845400筆記 ひっき 笔记，写下来    0770030 名他動3 ⓪
0077330900引っ繰り返す ひっくりかえす 颠倒过来，翻转过来；推翻，弄倒；扭转    0775002 他動1 ⑤
0078135800引っ繰り返る ひっくりかえる 翻，倒，颠倒    0782876 自動1 ⑤
0078723500引っ込む ひっこむ 退下，隐退；缩进，凹进，塌陷    0788630 自動1 ③
0079432800必需品 ひつじゅひん 必需品，无论何种情况都需要的物品    0795594 名 ⓪
1080015300びっしょり びっしょり 湿透，湿淋淋    0801906 副 ③
0080466400引っ張る ひっぱる 拉，拽，拖；拉拢，劝诱…加入一伙；延长，拖长    0806004 他動1 ③
2081469000否定 ひてい 否定，否认    0815782 名他動3 ⓪
0081821600一息 ひといき 喘口气，歇口气；一口气；稍许的努力；（使)一把劲    0819909 名 ②
0082678100人一倍 ひといちばい 比别人加倍，在普通人以上    0828141 名副 ⓪④
0083223500完了 完了 完了   
