0052408500脂肪 しぼう 脂肪，常温下呈固体的油脂    0525016 名 ⓪
0053021600萎む しぼむ 枯萎，凋谢    0531866 自動1 ⓪
0053480600絞る しぼる 榨，凝，用力挤出其中的水分；绞尽(脑汁)；缩小范围    0536100 他動1 ②
0054426800資本 しほん 资本，用以谋求利润的本金，生产三要素之一    0545580 名 ⓪
0055273100縞 しま 条纹，格纹    0553769 名 ②
0055656200姉妹 しまい 姐妹    0557831 名 ①
0055944600しまった しまった 糟了，糟糕    0561202 感 ②
0056369200縞模様 しまもよう 条纹花样，条状花纹    0565241 名 ③
0056912700しみじみ しみじみ 仔细地，认真地；深切地；亲密地，恳切地    0570389 副自動3 ③
0057705800じめじめ じめじめ 湿漉漉，湿气重的，阴沉，不活泼    0578304 副自動3 ①
0058390800しめた しめた 太好了，太棒了，正中下怀，由于事情进展顺利而感到高兴    0585588 感 ①
0059415100占める しめる 占据，占领；占有(一定的比例)    0595909 他動2 ②
0060043500地面 じめん 地面，地表；土地，地皮    0601689 名 ①
0060678200下 しも 偏，远离重点或中心；(河流)下游；地位、身份低微者；后半，下半；下半身    0608234 名 ②
0062013800地元 じもと 当地，与…有直接关系的地方；本地，自己居住的地方    0621259 名 ⓪③
0062930800~弱 ~じゃく (数量)不足…    0630501 接尾
0063220000蛇口 じゃぐち 水龙头，水栓    0633607 名 ⓪
0063660600弱点 じゃくてん 弱点，痛处；短处，缺点    0637762 名 ③
0064322000車掌 しゃしょう 售票员，乘务员    0644889 名 ⓪
0064831700写生 しゃせい 写生，照实物作画    0649473 名他動3 ⓪
0065337700社説 しゃせつ 社论，社评。报纸或杂志中设置的特别栏目，按照社的基本方针发表的评论    0654940 名 ⓪
0066520400若干 じゃっかん 若干，多少，有些    0666630 名副 ⓪
0067044500しゃっくり しゃっくり 打嗝    0672695 名 ①
0067408100シャッター shuter 快门，遮光器；百叶窗    0675773 名 ①
0068021000車道 しゃどう 车道，供车辆行驶的道路    0681608 名 ⓪
0068574000しゃぶる しゃぶる 含在口中，放在嘴里吮吸    0687859 他動1 ⓪②
0069237000三味線 しゃみせん 三弦，拨弦乐器的一种    0694300 名 ⓪
0069842100車輪 しゃりん 车轮；拼命工作，努力做好    0699846 名 ⓪
0070458800洒落 しゃれ 玩笑话，幽默，俏皮话    0706072 名 ⓪
0071054800洒落る しゃれる 打扮，装扮(漂亮)；言行文雅大方；说俏皮话    0711544 自動2 ③⓪
0071800300~種 ~しゅ …种类，品别    0719244 接尾
0072186400~酒 ~しゅ ...酒，酒宴    0722869 接尾
0072516300~州 ~しゅう …州(国家或地方行政区划；构成联邦的地区);…洲    0727089 接尾
0073051800~集 ~しゅう …集合，汇编文章等而成的书籍    0731680 接尾
0073675000住 じゅう 居住，住所    0738355 名 ①
0074074400銃 じゅう 枪，步枪，手枪等    0742115 名 ①
0074627800重~ じゅう~ 重；双重，两个    0747501 接頭
0075171200~重 ~じゅう 重，用于数重复事物    0752677 接尾
0075684700周囲 しゅうい 周围，四周(环境)    0759011 名 ①
0076186700集会 しゅうかい 集会，很多人聚集在一起    0762723 名自動3 ⓪
0076703000収穫 しゅうかく 收割，收成；收获    0768611 名他動3 ⓪
0077253400就学 しゅうがく 就学，上(小)学    0774459 名自動3 ⓪
0077736200宗教 しゅうきょう 宗教    0779436 名 ①
0078380000就業 しゅうぎょう 就业，就职，开始工作    0785452 名自動3 ⓪
0079011400従業員 じゅうぎょういん 从业人员，职工，员工    0791707 名 ③
0079640200集金 しゅうきん 收钱，收来的钱款    0798160 名自他動3 ⓪
0080184300集計 しゅうけい 统计，合计    0803061 名他動3 ⓪
0080579600集合 しゅうごう 集合，集中    0807661 名自動3 ⓪
0081023200収支 しゅうし 收支，收入与支出    0811416 名 ①
0081514700修士 しゅうし 修士，硕士    0817222 名 ①
0081985200終始 しゅうし 自始至终，从头到尾    0822394 副自動3 ①
0082615100習字 しゅうじ 习字，练字，书法    0827068 名 ⓪
0083100400充実 じゅうじつ 充实，完备    0832377 名自動3 ⓪
0083516000収集 しゅうしゅう 收集，藏品，回收    0837537 名他動3 ⓪
0084144400修飾 しゅうしょく 修饰，装饰    0843322 名他動3 ⓪
0084597700修正 しゅうせい 修正，修改，改正错误或弥补不足    0847804 名他動3 ⓪
0085489700修繕 しゅうぜん 修缮，修理    0856850 名他動3 ⓪
0085920900重体・重態 じゅうたい 病危，垂危，性命攸关的境地    0861191 名 ⓪
0086683100絨毯 じゅうたん 地毯，绒毯    0868812 名 ①
0087146600銃弾 じゅうだん 枪弹，子弹    0873371 名 ⓪
0087612000終着 しゅうちゃく (车辆)到达终点,最终到达目的地    0878119 名 ⓪
0088238600習得 しゅうとく 习得，学习、掌握到…    0883895 名他動3 ⓪
0088870800修得 しゅうとく 学会，掌握，学到(本领、技术等)    0890495 名他動3 ⓪
0089416700重複 じゅうふく／ちょうふく 重复，同一事物重叠数次    0898497 名自動3 ⓪
0090298900重役 じゅうやく 重要角色，要职    0904424 名 ⓪
0090797300収容 しゅうよう 容纳，收容    0909984 名自動3 ⓪
0091303200従来 じゅうらい 从来，从以前到现在    0915106 名副 ①
0091909800完了 完了 完了   
