0049464900承認 しょうにん 承认；答应，允诺；批准，同意    0496003 名他動3 ⓪
0050211600情熱 じょうねつ 激情，热情    0504678 名 ⓪
0050751800勝敗 しょうはい 胜与败，输与赢    0509342 名 ⓪
0051270600蒸発 じょうはつ 蒸发，液体发生气化；突然之前音信全无    0514038 名自動3 ⓪
0052209600賞品 しょうひん 奖品，奖赏的物品    0524031 名 ⓪
0052789400上品 じょうひん 上等品，质量好的物品；高雅，典雅，高尚    0529326 名 ナ形
0053644700小便 しょうべん 尿，小便    0537695 名 ③
0054024400消防 しょうぼう 消防，救火或预防、警戒火灾的发生    0541911 名 ⓪
0054814400正味 しょうみ 实质内容；净重；真货；实价    0550079 名 ①
0055564600賞味 しょうみ 品味，(有滋有味地)品尝    0556849 名他動3 ①
0056047600賞味期限 しょうみきげん 品尝期限，(食品)保质期限    0562540 名 ④
0056619500静脈 じょうみゃく 静脉    0567729 名 ⓪①
0056936200照明 しょうめい 照明，灯光    0570867 名他動3 ⓪
0057376900消耗 しょうもう 消耗，减少，消费    0575314 名自他動3 ⓪
0057949200勝利 しょうり 胜利，成功    0580574 名自動3 ①
0058358600省略 しょうりゃく 省略，从简    0585427 名他動3 ⓪
0058816400奨励 しょうれい 奖励，鼓励，提倡    0589451 名他動3 ⓪
0059324700女王 じょおう 女王    0594575 名 ②
0059626400助教授 じょきょうじゅ 副教授    0598540 名 ②
0060028200職 しょく 职业，工作；职务；手艺，手艺人    0601523 名 ⓪
0060787800～色 ～しょく 颜色，着色；景象，样子    0609167 接尾
0061441800食塩 しょくえん 食用盐    0616152 名 ②
0061818300職探し しょくさがし 找工作，求职    0620818 名 ③⓪
0062356100植民地 しょくみんち 殖民地    0625104 名 ③
0062674700職人 しょくにん 工匠，手工艺人；行家，专家    0628193 名 ⓪
0063350200食費 しょくひ 伙食费，膳食费，餐费    0635089 名 ⓪
0063914200職務 しょくむ 职务，所承担的工作任务    0640811 名 ①
0064478000食欲 しょくよく 食欲    0646388 名 ⓪②
0064804600諸君 しょくん 诸位，各位，称呼多数人时使用，主要用于男性称呼下辈时    0649378 名 ①
0065794600書斎 しょさい 书斋，书房    0659385 名 ⓪
0066190600助詞 じょし 助词，日语词类之一    0663365 名 ⓪
0066695300助手 じょしゅ 助手    0668576 名 ⓪
0067025600初旬 しょじゅん 上旬，月初的十天    0671359 名 ⓪
0067452900徐々に じょじょに 徐徐地，慢慢等，逐步地    0676106 副 ①
0068025800書籍 しょせき 书籍，书本，图书    0681429 名 ①⓪
0068497000所属 しょぞく 所属，属于某一事物、团体、机构等的事或物    0686371 名自動3 ①⓪
0069334600所帯 しょたい (独立的)家庭；生活方式；拥有的财产，所属的东西    0694486 名 ②①
0070090000処置 しょち 处置，处理，采取措施；(医疗)处理，治疗    0701964 名他動3 ①
0070850400ショック shock (物理方面的)打击，冲击；震撼，动摇；休克    0710085 名 ①
0071621400書道 しょどう 书道，书法，书写毛笔字的艺术    0717745 名 ①
0072299200助動詞 じょどうし 助动词，日语词类中的一种，有活用型的附属词，接在用言和名词等后面    0724458 名 ②
0073448500所得 しょとく 所得，收入    0735560 名 ⓪
0073827800処分 しょぶん 处分，处罚；处理，处置，扔掉    0739151 名他動3 ①
0074586100初歩 しょほ 初步，初学，入门阶段    0747344 名 ①
0075173800署名 しょめい 署名，签名    0753597 名 ⓪
0075683800書物 しょもつ 书本，书籍，图书    0758271 名 ①
0076246800除夜 じょや 除夕，12月31日晚上，一年中的最后一天    0763813 名 ①
0077098800女優 じょゆう 女演员，女艺人    0772214 名 ⓪
0077537400白髪 しらが 白头发，灰白的头发    0776470 名 ③
0078017600~知らず ~しらず (接名词、形容词词干)未曾体验过，对…不了解    0782587 接尾
0078729100知らず知らず しらずしらず 不知不觉地，无意识当中    0789625 副 ④⓪
0079341000市立 しりつ 市立    0794774 名 ①
0079642800私立 しりつ 私立，民办，民营    0797855 名 ①
0080164300自立 じりつ 自立，独立，不从属于他人，不借助他人的帮助，依靠自己的力量    0802922 名自動3 ⓪
0081220800飼料 しりょう 饲料    0814118 名 ①
0081629800汁 しる 汁液，浆；汤    0817280 名 ①
0082094400シルバーシート silver_seat 银色坐席，老弱病残孕优先座    0823463 名 ⑤
0082874200城 しろ 城，城郭，城堡    0829842 名 ⓪
0083395800素人 しろうと 外行，没有经验的人；非本职人员，业余爱好者    0836010 名 ①
0084348500皺 しわ 皱纹，褶皱；波纹；(财政)赤字，亏损    0844836 名 ⓪
0085170800芯 しん 芯；核心，中心    0853469 名 ①
0085734600進化 しんか 进化；进步，发展    0858697 名自動3 ①
0086257300侵害 しんがい 侵犯，侵权    0863985 名他動3 ⓪
0086736100新規 しんき 新规则；新来的，新开始的    0868829 名ナ形 ①
0087367000真空 しんくう 真空，空白    0874720 名 ⓪
0087766400シングル single 单一，一个人用；独身，单身    0879178 名 ①
0088428300神経 しんけい 神经，神经过敏；感觉，感受，心情    0886092 名 ①
0089287500真剣 しんけん (做事)认真，一丝不苟    0894282 名ナ形 ⓪
0089767300完了 完了 完了   
