0043281600坊主 ぼうず 对僧侣的俗称；光头；光秃秃；对男孩子的爱称或粗俗的称呼；[接头]…小鬼，家伙，表示亲昵或嘲讽    0433810 名 ①
0044590400宝石 ほうせき 宝石，天然的非金属矿物中，产量少、质地坚硬、稀有且美丽的矿石    0447522 名 ⓪
0045585400法則 ほうそく 法则，规范；定律，规律    0457354 名 ⓪
0046146100包帯 ほうたい 绷带，用于包扎伤口的带状纱布等    0462954 名 ⓪
0046763700膨大・厖大 ぼうだい 庞大，数量、规模等巨大    0468905 名ナ形 ⓪
0047298700ぼうっと ぼうっと 朦胧，模糊不清；精神恍惚    0474594 副自動3 ⓪
0047846600放っておく ほうっておく 放在一边，弃置不管    0480398 他動1 ④
0048335900方程式 ほうていしき (数学)方程式    0485303 名 ③
0048704600防犯 ぼうはん 防止犯罪    0488941 名 ⓪
0049074700暴風 ぼうふう 暴风，狂风    0491780 名 ⓪③
0049414300暴風雨 ぼうふうう 暴风雨，伴随狂风而下的雨    0495651 名 ③
0049956500暴風雪 ぼうふうせつ 暴风雪，与风速超过每秒20米的狂风交织在一起的降雪    0500798 名 ③
0050761300方々 ほうぼう 各处，到处，各方面    0508830 名 ①
0051212800ホームページ homepage 主页    0514068 名 ④
0051528100方面 ほうめん …方面，位于某个方向的不确定的场所、地区；…领域    0517192 名 ③
0052424700坊や ぼうや 男孩儿；毛头小子，不懂世故的年轻人    0525188 名 ①
0052999900放り込む ほうりこむ 扔入，丢进，漫不经心的放入    0531427 他動1 ④
0053574500放り出す ほうりだす 扔出；抛，胡乱放置，丢下不管；开除，解雇，被驱逐    0537249 他動1 ④
0054560100暴力 ぼうりょく 暴力，武力，粗暴的行为    0546744 名 ①
0055073100ボーイ boy 男孩，少年；(餐厅等的)男侍应，男服务生    0552052 名 ①
0055697100ボーイフレンド boyfriend 男朋友，男性朋友    0558575 名 ⑤①
0056209500保管 ほかん 保管，对金钱及贵重物品等进行管理，以免损失    0563128 名他動3 ⓪
0056957000牧場 ぼくじょう 牧场    0570691 名 ⓪
0057192400牧畜 ぼくちく 畜牧，畜牧业    0573748 名 ⓪
0057614500保健 ほけん 保健，预防疾病，保护健康；保健课，学校开设的有关健康、卫生方面的科目    0577667 名 ⓪
0058762400保険 ほけん 保险    0588635 名 ⓪
0059006800保護 ほご 保护，庇护    0591299 名他動3 ①
0059355800母校 ぼこう 母校，毕业的学校    0595160 名 ①
0059794300母国 ぼこく 母国，祖国    0599223 名 ①
0060162700誇り ほこり 自豪，感到荣耀    0602946 名 ⓪③
0060564600誇る ほこる 夸耀，自豪；杰出，领先    0606995 自動1 ②
0061146300干し物 ほしもの 晒干的东西(尤指衣物)；干货    0613199 名 ③
0061590600保守 ほしゅ 保守，遵循旧的思维方式、行为习惯等，反对进行改革；保养，维持正常状态    0617603 名他動3 ①
0062724900保守的 ほしゅてき 保守的，有保守倾向的；落后的，因循守旧的    0628613 ナ形 ⓪
0063441300補助 ほじょ 补助，辅助    0635550 名他動3 ①
0063770400保障 ほしょう 保障    0639656 名他動3 ⓪
