0048741500すっと すっと 行动轻快地，进展顺利地；细长地；(身心)舒畅    0488704 副 ①③⓪
0049519200ステージ stage 舞台，讲台；阶段    0496864 名 ②
0050079900ステッキ stick (西式)拐杖，手杖    0502187 名 ②
0050509700ステンレス stainless 不锈钢    0507195 名 ②
0050890300ストッキング stocking 长筒袜(的总称)    0510484 名 ②
0051256300スナック snack 零食，小食，点心    0514039 名 ②
0051786700頭脳 ずのう 头脑，脑力，智力；头脑    0519410 名 ①
0052413000スパゲッティ spaghetti 细长而非管状的意大利面条    0526394 名 ③
0053043000素早い すばやい 迅速的，敏捷的，干脆利落的    0531333 イ形 ③
0053603100スピーカー speaker 说话的人；扬声器，扩音器    0537311 名 ②
0054168700図表 ずひょう 图表；曲线图，坐标图    0543120 名 ⓪
0054718900スポーツカー sports_car 跑车，赛车，驾驶轻便且速度快    0549055 名 ④⑤
0055407000スマート smart (服装、形状等)漂亮，时髦；身材好，提醒苗条    0555251 ナ形 ②
0056029100墨 すみ 墨，文房用品之一；(黑)烟灰；(章鱼的)墨汁    0561417 名 ②
0056704700～済み ～ずみ …完了，结束    0568762 接尾
0057115000住みつく すみつく 定居，落户    0573145 自動1 ③⓪
0057555700速やか すみやか 快速，迅速    0577238 ナ形 ②
0057967900澄む・清む すむ 清澈；清晰，清亮；宁静，平静    0581597 自動1 ①
0058787500スライド slide 幻灯片，幻灯机    0589172 名 ⓪
0059232400ずらす ずらす 挪动，移开；将…错开    0593477 他動1 ②
0059795000すらすら すらすら 流畅，流利；(进展)顺利    0599448 副 ①
0060305500刷る する 印刷，版印    0604636 他動1 ①
0060734600鋭い するどい 锋利的，(刀)快的；激烈的，尖锐的；敏锐的，灵活的    0609470 イ形 ③
0061692000擦れ違い すれちがい 错开，擦肩而过；不一致，分歧    0618981 名 ④①
0062471500擦れ違う すれちがう 擦肩而过，走岔；不一致，产生分歧    0626098 自動1 ④⓪
0063217900ずれる ずれる 移动，滑动；偏离；离题    0634106 自動2 ②
0063868300寸法 すんぽう 尺寸，长短；计划，安排；状况，情况    0640070 名 ⓪
0064758100正 せい 正确，正直；正式的，主要的；(大于零的)正数    0648472 名 ①
0065506800生 せい 生存，生长；诞生，产生；生命；人生，生活    0656410 名 ①
0066556400性 せい 天性，性格；性别；性欲；性质，属性    0666475 名 ①
0067472800姓 せい 姓氏，姓名    0675504 名 ①
0067901800～制 ～せい 制定，规定，…制度    0679688 接尾
0068395000税 ぜい 税收；征收的费用    0684543 名 ①
0068841500精いっぱい せいいっぱい 尽力，竭尽全力    0690231 名副 ③①
0069382900生育 せいいく 生育，养育；(植物、作物等)生长，培育    0695858 名自他動3 ⓪
0070105800成育 せいいく 成长，发育    0702627 名自動3 ⓪
0070533900税関 ぜいかん 海关    0706779 名 ⓪
0070854700世紀 せいき 世纪，计算年代的单位，自公元元年开始，一百年为一世纪    0709681 名 ①
0071821400生計 せいけい 生计，维持生活的手段    0719444 名 ⓪
0072344700清潔 せいけつ 清洁，干净；(人品、行为举止等)公正、廉洁    0725137 名ナ形 ⓪
0072986100誠実 せいじつ 诚实，真诚    0731193 名ナ形 ⓪
0073387200正社員 せいしゃいん 正式员工，正式职员    0735523 名 ③
0073891900成熟 せいじゅく 成熟，充分地成长发育；(时机、条件等)成熟    0740825 名自動3 ⓪
0074602900青春 せいしゅん 青春，年轻而充满活力的时期    0747415 名 ⓪
0075217100清書 せいしょ 誊写清楚，誊清    0754291 名他動3 ⓪
0075745000正常化 せいじょうか 正常化    0759105 名自他動3 ⓪
0076129500精神 せいしん 精神，心灵；精力，毅力    0763223 名 ①
0076804200精神的 せいしんてき 精神上的，与精神状态有关的    0769984 ナ形 ⓪
0077431000整数 せいすう (数学)整数，全部自然数，零和带符号的自然数    0776020 名 ③
0078219700せいぜい せいぜい 尽力，尽可能；至多，充其量    0783479 副 ①
0078811900清掃 せいそう 清扫，打扫    0789372 名他動3 ⓪
0079208700製造 せいぞう 制造，生产    0793418 名他動3 ⓪
0079595100性的 せいてき 性别上的，与性有关的    0797168 ナ形 ⓪
0080076700晴天 せいてん 晴天，也指晴朗的天空    0801954 名 ⓪
0080542500制度 せいど 制度，规定    0806298 名 ①
0080912200政党 せいとう 政党    0809994 名 ⓪
0081212500成年 せいねん 成年，日本民法规定年满20岁为成年    0813061 名 ⓪
0081904600青年 せいねん 青年，处于青春期的年轻男女，一般指十四五岁到二十多岁的年轻人    0820541 名 ⓪
0082965400整備 せいび 整备，配备    0831375 名他動3 ①
0083411100制服 せいふく 制服，规定穿着的服装    0835690 名 ⓪
0084004600成分 せいぶん 成分，构成…的各种物质    0841380 名 ①
0084603800姓名 せいめい 姓名    0847555 名 ①
0085103000正門 せいもん 正门，大门，前门    0852672 名 ⓪
0085657700声優 せいゆう 配音演员，广播剧演员    0857923 名 ⓪
0086209400生理 せいり 生理(现象);（女性每月的)例假    0863275 名 ①
0086583100西暦 せいれき 西历，公历，阳历    0867860 名 ⓪
0087147000~隻 ～せき 艘，计算船等的量词    0872735 接尾
0087687800完了 完了 完了   
